positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
Senior Data Analyst,15k-30k,"['大数据', '移动互联网', '数据分析', 'SQL', '数据库']",3-5年,"国际化团队,工程师文化 移动应用",本科,全职,"['数据分析', 'SQL', '数据库']",北京,北京安亿致用科技有限公司,AppAnnie,"['D轮融资', '国际化团队', '弹性工作时间', '快速晋升空间']",150-500人,东城区,D轮及以上,移动互联网,"['广渠门', '花市', '光明楼']",产品|需求|项目类,数据分析,数据分析,39.894495,116.440239,1,100
数据分析师,15k-20k,"['本地生活', '数据分析', '数据运营', 'SQL', 'BI']",3-5年,餐补，话补，交通补，全额公积金，带薪病假,本科,全职,"['数据分析', '数据运营', 'SQL', 'BI']",北京,北京合生活网络科技有限公司,北京合生活网络科技有限公司,"['交通补助', '带薪年假', '午餐补助', '通讯津贴']",150-500人,朝阳区,不需要融资,消费生活,,产品|需求|项目类,数据分析,数据分析,39.891893,116.478395,2,61
数据分析师,14k-25k,"['互联网金融', 'MySQL', '数据分析']",1-3年,福利待遇好、团队气氛好、上升空间大,本科,全职,"['MySQL', '数据分析']",北京,小小黛朵（北京）科技有限公司,花生米富,"['股票期权', '带薪年假', '功夫熊按摩', '杀人游戏']",150-500人,朝阳区,B轮,"移动互联网,金融","['亚运村', '安贞']",开发|测试|运维类,数据开发,数据分析,39.972825,116.396575,2,100
数据分析师（融资）,8k-13k,"['金融', 'SQL', '数据库', '数据分析', '数据运营']",1-3年,五险一金、带薪年假、晋升空间、大平台,本科,全职,"['SQL', '数据库', '数据分析', '数据运营']",北京,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,朝阳区,不需要融资,金融,"['亮马桥', '燕莎', '麦子店']",产品|需求|项目类,数据分析,数据分析,39.949958,116.46343,0,0
数据分析师-用户增长,15k-30k,"['电商', '新零售', 'Hive', 'MySQL', '数据处理']",3-5年,"C2M,牛人多,盈利平台",本科,全职,"['Hive', 'MySQL', '数据处理']",北京,珠海随变科技有限公司,必要商城,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']",150-500人,朝阳区,不需要融资,电商,,开发|测试|运维类,数据开发,数据分析,39.924162,116.455537,1,100
数据分析工程师,15k-30k,['数据分析'],1-3年,十四薪；午餐晚餐；六险一金；地铁周边；,本科,全职,['数据分析'],北京,北京瓴岳信息技术有限公司,洋钱罐,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",150-500人,朝阳区,不需要融资,"移动互联网,金融",,开发|测试|运维类,数据开发,数据分析,39.929643,116.460733,1,100
风险计量部-数据分析师,15k-30k,['数据分析'],不限,六险一金 带薪年假 节日福利,本科,全职,['数据分析'],北京,贝壳金科控股有限公司,贝壳金服,"['专项奖金', '年终分红', '定期体检', '绩效奖金']",500-2000人,朝阳区,未融资,金融,"['酒仙桥', '大山子']",开发|测试|运维类,数据开发,数据分析,39.98033,116.499346,1,15
数据分析师,15k-25k,"['数据分析', 'MySQL', 'Hive']",3-5年,"年底双薪,股票期权,扁平管理,晋升快",本科,全职,"['数据分析', 'MySQL', 'Hive']",北京,北京水滴互联科技有限公司,水滴互助,"['网络互助', '医疗健康', '网络筹款', '互联网金融']",500-2000人,朝阳区,B轮,"移动互联网,医疗丨健康","['望京', '来广营']",开发|测试|运维类,数据开发,数据分析,40.012589,116.47097,1,65
数据分析工程师,15k-30k,"['移动互联网', '社交', '数据分析', '数据库']",3-5年,"扁平管理,季度奖金,多次调薪,团队年轻",本科,全职,"['数据分析', '数据库']",北京,北京巅峰同道科技有限公司,巅峰同道,"['绩效奖金', '弹性工作', '领导好', '技能培训']",50-150人,朝阳区,B轮,"金融,移动互联网",,产品|需求|项目类,数据分析,数据分析,40.012093,116.468041,1,10
高级数据分析师,25k-35k,['数据分析'],5-10年,扁平化管理 旅游基金 离地铁2分钟,本科,全职,['数据分析'],北京,发现时空（北京）信息技术有限公司,发现旅行,"['岗位晋升', '技能培训', '扁平管理', '弹性工作']",50-150人,朝阳区,B轮,旅游,,产品|需求|项目类,数据分析,数据分析,39.9253,116.460056,1,92
高级数据分析师(财务),20k-30k,['数据分析'],5-10年,技术大牛，工作氛围好，行业领先,本科,全职,['数据分析'],北京,北京永洪商智科技有限公司,永洪科技,"['期权股激励', '领导好', '五险一金', '巨大成长空间']",150-500人,朝阳区,C轮,企业服务,,开发|测试|运维类,数据开发,数据分析,39.914005,116.452067,2,100
数据分析经理,15k-25k,['数据分析'],1-3年,发展前景、双休、五险一金,本科,全职,['数据分析'],北京,北京云杉世界信息技术有限公司,美菜网,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",2000人以上,朝阳区,D轮及以上,电商,,产品|需求|项目类,数据分析,数据分析,39.972219,116.401057,0,0
数据分析助理,5k-6k,['数据分析'],不限,老板nice，年轻团队，帅哥美女多！,本科,全职,['数据分析'],北京,北京金骨朵文化传播有限公司,骨朵传媒,"['股票期权', '专项奖金', '鬼马精灵团队', '年底双薪']",15-50人,朝阳区,A轮,移动互联网,,产品|需求|项目类,数据分析,数据分析,39.995443,116.46622,0,0
数据分析助理工程师,8k-10k,"['医疗健康', '数据分析', '数据处理']",不限,可接触到行业内顶尖师资力量，跟随一起学习,本科,全职,"['数据分析', '数据处理']",北京,义乌哈工亿脑科技有限公司,亿脑科技,[],15-50人,朝阳区,未融资,"硬件,人工智能","['左家庄', '国展']",开发|测试|运维类,数据开发,数据分析,39.961075,116.45504,0,0
数据分析师（数据策略方向）,15k-30k,"['电商', '汽车', '商业', 'SQL', 'SPSS', '数据分析']",3-5年,"股票期权,独角兽,领导好,团队好",本科,全职,"['商业', 'SQL', 'SPSS', '数据分析']",北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",2000人以上,朝阳区,D轮及以上,消费生活,,产品|需求|项目类,数据分析,数据分析,39.972351,116.498927,1,100
数据分析师-用户画像方向,15k-25k,"['电商', '新零售', '运营', '产品运营', '用户运营', '电商运营']",3-5年,"C2M,牛人多,盈利平台",本科,全职,"['运营', '产品运营', '用户运营', '电商运营']",北京,珠海随变科技有限公司,必要商城,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']",150-500人,朝阳区,不需要融资,电商,,运营|编辑|客服类,运营,数据运营,39.924162,116.455537,1,100
